Rank,1,2,3,4,5,6,7,8,9,10
Arizona  ,Page Springs 2011 Vino del Barrio Red (Cochise County),Pillsbury 2011 Wild Child Red Red (Cochise County),Fiddlebender NV On the Edge Red (Arizona),Pillsbury 2011 Pinot Gris (Cochise County),Fiddlebender NV In Tune Red (Arizona),Page Springs 2010 ECIPS Table Wine Red (Arizona),Pillsbury 2011 Roan Red (Cochise County),Fiddlebender NV Out of Sight White (Arizona),Fiddlebender NV Evolution White (Arizona),Page Springs 2011 Vino de la Familia Blanca Malvasia Bianca (Cochise County)
 Arizona  VfM Score,92.43333333,92.16666667,91.93333333,91.8,91.43333333,91.36666667,91.13333333,91.13333333,91.13333333,91.1
California ,Failla 2010 Estate Vineyard Chardonnay (Sonoma Coast),Donkey & Goat 2012 Grenache Noir Grenache (El Dorado),Donkey & Goat 2010 Fenaughty Vineyard Syrah (El Dorado),EOS 2006 Tears of Dew Late Harvest Moscato (Paso Robles),Uvaggio 2010 Secco Moscato Giallo (Lodi),La Clarine Farm 2011 Cedarville Mourvèdre (Sierra Foothills),Foxen 2010 Block UU Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Au Bon Climat 2007 Los Alamos Vineyard Chardonnay (Santa Barbara County),Joseph Carr 2009 Dijon Clone Chardonnay (Sonoma Coast),Michael David 2012 Petite Petit Petite Sirah (Lodi)
 California VfM Score,96.56666667,96.2,96.16666667,96.03333333,95.93333333,95.9,95.86666667,95.83333333,95.8,95.8
Colorado ,The Infinite Monkey Theorem 2013 Cabernet Franc (Grand Valley),Kingman 2013 Cabernet Sauvignon (Grand Valley),Snowy Peaks 2011 Malbec (Grand Valley),Canyon Wind 2012 Cabernet Franc (Grand Valley),Sutcliffe 2014 Cabernet Franc (Colorado),Creekside Cellars 2014 Colorado's Cabernet Franc (Grand Valley),Kingman 2012 Cabernet Sauvignon (Grand Valley),The Infinite Monkey Theorem 2013 Malbec (Colorado),Creekside Cellars 2011 Syrah (Grand Valley),Two Rivers 2008 Riesling (Grand Valley)
 Colorado VfM Score,93.33333333,92.86666667,92.83333333,92.83333333,92.63333333,92.5,92.43333333,92.33333333,92.13333333,92.06666667
Connecticut ,Hopkins Vineyard 2006 Duet White (Western Connecticut Highlands),Hopkins Vineyard 1999 Estate Bottled Chardonnay (Western Connecticut Highlands),Hopkins Vineyard 2005 Estate Bottled Cabernet Franc (Western Connecticut Highlands),N/A,N/A,N/A,N/A,N/A,N/A,N/A
 Connecticut VfM Score,91.26666667,91,90.66666667,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii ,Ulupalakua NV Lokelani Sparkling Rose Sparkling (Hawaii),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 Hawaii VfM Score,91.63333333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
